Rep_num,Time,Stop_Reason,Generation,Population,Init_Method,Selection_Method,Tournament_Size,Crossover_Rate,Crossover_Type,Mutation_Rate,Mutation_Type,elitism,Max_Gen,Patience,Partition1_Sum,Partition2_Sum,Partition_Difference,Size
1,250.1868,Patience,37,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20915,20915,0,795
1,192.3011,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20949,20949,0,796
1,211.1511,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20974,20976,2,797
1,199.0038,Patience,28,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20984,20984,0,798
1,204.3790,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20994,20996,2,799
1,216.6229,Patience,31,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21006,21008,2,800
1,217.6300,Patience,31,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21046,21046,0,801
1,219.9561,Patience,31,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21093,21091,2,802
1,194.8238,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21120,21120,0,804
1,214.3356,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21224,21224,0,807
1,207.5130,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21300,21300,0,809
1,215.6583,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21317,21317,0,810
1,196.7237,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21418,21418,0,813
1,217.2263,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21457,21459,2,814
1,258.5155,Patience,37,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21491,21491,0,815
1,217.4367,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21565,21565,0,818
1,238.5984,Patience,33,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21601,21601,0,821
1,187.7769,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21689,21689,0,824
1,238.2511,Patience,33,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21705,21705,0,825
1,188.8767,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21817,21817,0,831
1,190.0171,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21892,21894,2,834
1,215.3017,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,21919,21917,2,836
1,199.4466,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22035,22035,0,839
1,210.1179,Patience,28,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22041,22039,2,840
1,198.7898,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22192,22194,2,845
1,194.6987,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22240,22238,2,847
1,226.8267,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22262,22262,0,848
1,194.7369,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22379,22379,0,853
1,194.9039,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22411,22409,2,854
1,202.2046,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22457,22455,2,855
1,211.5017,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22489,22489,0,857
1,306.8554,Patience,42,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22572,22570,2,861
1,227.7885,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22618,22618,0,864
1,215.2823,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22665,22663,2,866
1,270.2159,Patience,36,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22697,22695,2,868
1,215.6190,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22733,22733,0,869
1,210.5473,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22761,22763,2,870
1,215.0202,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22812,22812,0,871
1,235.6983,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22880,22880,0,873
1,270.6775,Patience,35,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,22885,22885,0,874
1,358.2531,Patience,48,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23015,23015,0,879
1,267.8012,Patience,34,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23065,23065,0,880
1,245.9769,Patience,31,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23114,23114,0,881
1,211.1779,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23121,23121,0,882
1,202.1657,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23150,23148,2,883
1,211.6226,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23215,23215,0,885
1,231.7987,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23231,23231,0,886
1,307.7374,Patience,40,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23275,23275,0,887
1,205.0187,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23327,23325,2,889
1,222.2839,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23617,23617,0,900
1,279.5454,Patience,35,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23639,23639,0,901
1,255.6703,Patience,32,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23660,23660,0,903
1,227.8274,Patience,28,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23687,23689,2,904
1,243.1187,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23765,23765,0,906
1,207.6995,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23777,23777,0,907
1,273.0140,Patience,33,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23783,23783,0,908
1,354.1232,Patience,44,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23863,23863,0,913
1,230.5647,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23885,23885,0,914
1,247.4183,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23920,23922,2,915
1,289.4577,Patience,35,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23941,23941,0,916
1,225.7665,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,23978,23976,2,917
1,276.1174,Patience,33,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24082,24082,0,920
1,243.3839,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24098,24096,2,922
1,258.9669,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24178,24178,0,924
1,238.6707,Patience,28,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24212,24212,0,926
1,213.8784,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24239,24241,2,927
1,248.4868,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24334,24334,0,930
1,278.3022,Patience,33,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24422,24424,2,933
1,309.0624,Patience,37,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24457,24459,2,934
1,268.1829,Patience,32,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24459,24459,0,935
1,257.9636,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24541,24541,0,938
1,227.5221,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24550,24548,2,939
1,295.0157,Patience,35,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,24628,24628,0,941
